主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
航天、核能与大型技术系统,核心科技直接材料,C-KISTEP-RES0220220132,2022-08-03,W3,2021년도 예비타당성조사 보고서 원전해체 경쟁력 강화 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220132&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220134,2022-08-03,W3,2021년도 예비타당성조사 보고서 국가 마이크로바이옴 이니셔티브 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220134&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220220134,2022-08-03,W3,2021년도 예비타당성조사 보고서 국가 마이크로바이옴 이니셔티브 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220134&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220220134,2022-08-03,W3,2021년도 예비타당성조사 보고서 국가 마이크로바이옴 이니셔티브 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220134&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220135,2022-08-03,W3,2021년도 예비타당성조사 보고서 나노융합2030사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220135&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220220135,2022-08-03,W3,2021년도 예비타당성조사 보고서 나노융합2030사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220135&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220137,2022-09-01,W3,2021년도 국가연구개발사업 조사‧분석 보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220137&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220138,2022-09-28,W3,정부 R&D 연구지원통합시스템 개발 및 구축 (1단계),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220138&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-RES0220220138,2022-09-28,W3,정부 R&D 연구지원통합시스템 개발 및 구축 (1단계),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220138&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-PRG0720220074,2022-09-30,W3,간접비비율 산출 관리시스템 개발 구축 전략 수립,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220074&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220220139,2022-10-12,W3,2021년도 예비타당성조사 보고서 국가로봇테스트필드 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220139&rpt_tp=831-003,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-PRG0720220056,2022-10-14,W3,미래예측 방법론을 활용한 디지털 융복합 신산업 도출,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220056&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-PRG0720220056,2022-10-14,W3,미래예측 방법론을 활용한 디지털 융복합 신산업 도출,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220056&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-PRG0720220056,2022-10-14,W3,미래예측 방법론을 활용한 디지털 융복합 신산업 도출,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220056&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技前瞻与未来社会,核心科技直接材料,C-KISTEP-PRG0720220056,2022-10-14,W3,미래예측 방법론을 활용한 디지털 융복합 신산업 도출,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220056&rpt_tp=831-007,官方目录元数据，附件未列入本批
半导体、量子与战略技术,核心科技直接材料,C-KISTEP-RES0220220140,2022-10-14,W3,2021년도 예비타당성조사 보고서 시스템반도체 첨단패키징 플랫폼 구축사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220140&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220220140,2022-10-14,W3,2021년도 예비타당성조사 보고서 시스템반도체 첨단패키징 플랫폼 구축사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220140&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220142,2022-10-17,W3,2021년도 예비타당성조사 보고서 실내공기질 관리ㆍ개선 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220142&rpt_tp=831-003,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220220141,2022-10-19,W3,2021년도 예비타당성조사 보고서 미래대응 섬유 고부가 전략기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220141&rpt_tp=831-003,官方目录元数据，附件未列入本批
半导体、量子与战略技术,核心科技直接材料,C-KISTEP-RES0220220141,2022-10-19,W3,2021년도 예비타당성조사 보고서 미래대응 섬유 고부가 전략기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220141&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220220141,2022-10-19,W3,2021년도 예비타당성조사 보고서 미래대응 섬유 고부가 전략기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220141&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技前瞻与未来社会,核心科技直接材料,C-KISTEP-RES0220220141,2022-10-19,W3,2021년도 예비타당성조사 보고서 미래대응 섬유 고부가 전략기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220141&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,核心科技直接材料,C-KISTEP-RES0220220145,2022-10-19,W3,2022년도 사업계획 적정성 재검토 보고서 바이오 연구 소재 활용기반 조성 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220145&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,核心科技直接材料,C-KISTEP-RES0220220145,2022-10-19,W3,2022년도 사업계획 적정성 재검토 보고서 바이오 연구 소재 활용기반 조성 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220145&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,核心科技直接材料,C-KISTEP-RES0220220146,2022-10-19,W3,2021년도 예비타당성조사 보고서 바이오파운드리 구축 및 활용기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220146&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220220146,2022-10-19,W3,2021년도 예비타당성조사 보고서 바이오파운드리 구축 및 활용기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220146&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220147,2022-10-20,W3,2021년도 예비타당성조사 보고서 극한소재 실증연구 기반조성 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220147&rpt_tp=831-003,官方目录元数据，附件未列入本批
能源、气候与绿色转型,科技创新政策与能力基线,C-KISTEP-RES0220220148,2022-10-21,W3,2021년도 예비타당성조사 보고서 탄소중립혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220148&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220148,2022-10-21,W3,2021년도 예비타당성조사 보고서 탄소중립혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220148&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220220148,2022-10-21,W3,2021년도 예비타당성조사 보고서 탄소중립혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220148&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220149,2022-10-25,W3,2021년도 예비타당성조사 보고서 국가 플래그십 초고성능컴퓨팅 인프라 고도화 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220149&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220057,2022-10-31,W3,핵심기술별 R&D 투자의 사회·경제적 파급효과 분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220057&rpt_tp=831-007,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-PRG0720220058,2022-10-31,W3,중소기업의 디지털 전환 지원정책 재설계를 위한 기업 R&D 활동 빅데이터 실증분석 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220058&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-PRG0720220058,2022-10-31,W3,중소기업의 디지털 전환 지원정책 재설계를 위한 기업 R&D 활동 빅데이터 실증분석 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220058&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-PRG0720220058,2022-10-31,W3,중소기업의 디지털 전환 지원정책 재설계를 위한 기업 R&D 활동 빅데이터 실증분석 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220058&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220063,2022-10-31,W3,과학기술외교･국제협력 R&D 성과분석체계 기반 구축 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220063&rpt_tp=831-007,官方目录元数据，附件未列入本批
技术安全、供应链与国际合作,科技创新政策与能力基线,C-KISTEP-PRG0720220063,2022-10-31,W3,과학기술외교･국제협력 R&D 성과분석체계 기반 구축 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220063&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-PRG0720230001,2022-10-31,W3,2022년 과학기술외교 아카데미 구축·운영,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230001&rpt_tp=831-007,官方目录元数据，附件未列入本批
技术安全、供应链与国际合作,科技创新政策与能力基线,C-KISTEP-PRG0720230001,2022-10-31,W3,2022년 과학기술외교 아카데미 구축·운영,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230001&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220151,2022-11-12,W3,2022년 국가연구개발 우수성과 100선,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220151&rpt_tp=831-004,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220060,2022-11-15,W3,과학기술혁신정책 패러다임의 변화를 반영한 정부 부처 R&D 사업 분석 틀 개발 및 적용에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220060&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720220060,2022-11-15,W3,과학기술혁신정책 패러다임의 변화를 반영한 정부 부처 R&D 사업 분석 틀 개발 및 적용에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220060&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220061,2022-11-15,W3,R&D 투자가 지역 성장에 미치는 효과 : 5+2 광역경제권을 중심으로,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220061&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720220061,2022-11-15,W3,R&D 투자가 지역 성장에 미치는 효과 : 5+2 광역경제권을 중심으로,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220061&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-PRG0720220062,2022-11-15,W3,대학연구소의 바람직한 역할 정립 및 활성화 방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220062&rpt_tp=831-007,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-PRG0720220071,2022-11-17,W3,디지털 혁신전략 추진 방향 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220071&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-PRG0720220071,2022-11-17,W3,디지털 혁신전략 추진 방향 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220071&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220067,2022-11-28,W3,개도국 과학기술정책 교육훈련 수요 발굴 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220067&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720220067,2022-11-28,W3,개도국 과학기술정책 교육훈련 수요 발굴 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220067&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220059,2022-11-29,W3,좌초자산 개념을 활용한 R&D사업의 경제성평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220059&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220065,2022-11-29,W3,과학기술 논문성과 분석연구(2012-2021),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220065&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720220065,2022-11-29,W3,과학기술 논문성과 분석연구(2012-2021),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220065&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220064,2022-11-30,W3,정부 R&D 투자의 지능형 분석 및 탐색에 대한 모형 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220064&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220066,2022-11-30,W3,정부와 민간의 역할 분담 관점에서의 R&D 투자전략,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220066&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-PRG0720220068,2022-11-30,W3,과학기술 기반의 사회문제 스코어보드 지표체계 탐색연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220068&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720220072,2022-11-30,W3,한국형 국가기술혁신체계(NIS) 고도화를 위한 정책방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220072&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720230002,2022-11-30,W3,주요국 및 국제기구 동향 분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230002&rpt_tp=831-007,官方目录元数据，附件未列入本批
技术安全、供应链与国际合作,科技创新政策与能力基线,C-KISTEP-PRG0720230002,2022-11-30,W3,주요국 및 국제기구 동향 분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230002&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720230003,2022-11-30,W3,독일/EU 과학기술혁신 동향 수집·분석 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230003&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220070,2022-12-06,W3,성장동력 정책평가 개념 연구 및 개선과제 도출,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220070&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720220070,2022-12-06,W3,성장동력 정책평가 개념 연구 및 개선과제 도출,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220070&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720220069,2022-12-15,W3,국가연구개발사업 표준성과지표 6차 개정을 위한 탐색 연구 최종보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220069&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220153,2022-12-19,W3,국가R&D 기획·관리 지원서비스 구축,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220153&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-RES0220220153,2022-12-19,W3,국가R&D 기획·관리 지원서비스 구축,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220153&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720230010,2022-12-21,W3,출연(연) 임무지향 혁신체계 구축을 위한 기관평가제도 개편방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230010&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720230010,2022-12-21,W3,출연(연) 임무지향 혁신체계 구축을 위한 기관평가제도 개편방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230010&rpt_tp=831-007,官方目录元数据，附件未列入本批
能源、气候与绿色转型,科技创新政策与能力基线,C-KISTEP-RES0220220157,2022-12-22,W3,2021년도 예비타당성조사 보고서 탄소중립 산업핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220157&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220157,2022-12-22,W3,2021년도 예비타당성조사 보고서 탄소중립 산업핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220157&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220220157,2022-12-22,W3,2021년도 예비타당성조사 보고서 탄소중립 산업핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220157&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220220158,2022-12-26,W3,2021 연구개발 성과연감,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220158&rpt_tp=831-004,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-PRG0720230011,2022-12-30,W3,범부처 연구지원시스템 운영을 위한 사용자 온오프라인 교육 및 학습 플랫폼 지원_최종보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230011&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720230009,2022-12-31,W3,뉴노멀 시대의 과학기술인력 확보 및 효율적 육성을 위한 제도개선 방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230009&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-PRG0720230009,2022-12-31,W3,뉴노멀 시대의 과학기술인력 확보 및 효율적 육성을 위한 제도개선 방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230009&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720230009,2022-12-31,W3,뉴노멀 시대의 과학기술인력 확보 및 효율적 육성을 위한 제도개선 방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230009&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220220159,2023-01-02,W3,제6회 과학기술예측조사 결과물 확산 연구(3차년도),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220159&rpt_tp=831-006,官方目录元数据，附件未列入本批
半导体、量子与战略技术,核心科技直接材料,C-KISTEP-RES0220220161,2023-01-02,W3,2022년 기술수준평가(2차년도),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220161&rpt_tp=831-006,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220220161,2023-01-02,W3,2022년 기술수준평가(2차년도),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220161&rpt_tp=831-006,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720230004,2023-01-10,W3,국가연구개발사업 간접비 활동기준원가계산 도입을 위한 실증연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230004&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220230001,2023-01-10,W3,2022년 국가R&D사업 사전분석 전문 네트워크 구축 및 역량 강화,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220230001&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220230002,2023-01-19,W3,2022년 미래 불확실성에 대응하는 환경변화 탐색 및 대응방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220230002&rpt_tp=831-006,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220230008,2023-01-19,W3,2023년 KISTEP 미래유망기술 선정에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220230008&rpt_tp=831-006,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220230010,2023-01-19,W3,디지털 전환 시대의 과학기술혁신정책: 산업 고도화와 융복합 신산업 창출을 위한 10대 정책과제,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220230010&rpt_tp=831-005,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-RES0220230010,2023-01-19,W3,디지털 전환 시대의 과학기술혁신정책: 산업 고도화와 융복합 신산업 창출을 위한 10대 정책과제,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220230010&rpt_tp=831-005,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720230014,2023-01-25,W3,과기 출연연 기관평가 전략컨설팅 방법 개발 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230014&rpt_tp=831-007,官方目录元数据，附件未列入本批
