主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180249,2018-12-11,W1,2018년도 예비타당성조사 보고서-디스플레이 혁신공정 플랫폼 구축사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180249&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,科技创新政策与能力基线,C-KISTEP-RES0220180250,2018-12-11,W1,2017년도 예비타당성조사 보고서-농생명소재산업화 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180250&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180250,2018-12-11,W1,2017년도 예비타당성조사 보고서-농생명소재산업화 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180250&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180250,2018-12-11,W1,2017년도 예비타당성조사 보고서-농생명소재산업화 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180250&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180251,2018-12-11,W1,2018년도 예비타당성조사 보고서-무인이동체 원천기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180251&rpt_tp=831-003,官方目录元数据，附件未列入本批
航天、核能与大型技术系统,科技创新政策与能力基线,C-KISTEP-RES0220180251,2018-12-11,W1,2018년도 예비타당성조사 보고서-무인이동체 원천기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180251&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,核心科技直接材料,C-KISTEP-PRG0720180121,2018-12-13,W1,바이오의료 분야 R&D 투자방향 및 혁신방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180121&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-PRG0720180121,2018-12-13,W1,바이오의료 분야 R&D 투자방향 및 혁신방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180121&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-PRG0720180121,2018-12-13,W1,바이오의료 분야 R&D 투자방향 및 혁신방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180121&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180256,2018-12-21,W1,2018년 지역과학기술산업 Scoreboard 구축과 발간,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180256&rpt_tp=831-001,官方目录元数据，附件未列入本批
