报告ID,官方记录ID,官方分类代码,韩文报告类型,发布日期,观察窗,韩文题名,作者,官方关键词,语言,资料角色,科技关联层级,主题标签,下载优先级,官方落地页,官方附件,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,本地状态,错误,获取日期
C-KISTEP-PRG0720180096,PRG0720180096,831-007,위탁/협동/공동연구보고서,2018-11-14,W1,연구관리전문기관 사업관리의 전문성·공정성 제고방안 연구,윤지웅((사)한국행정학회),"연구관리, 공정성, 전문성, 전문기관",韩文,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180096&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180096&seq=prg_0071P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180242,RES0220180242,831-001,조사평가,2018-11-20,W1,2018년도 국가연구개발사업 상위평가보고서,박정일(R&D평가센터),"국가연구개발사업, 중간평가, 자체평가, 상위평가",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180242&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180242&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180116,PRG0720180116,831-007,위탁/협동/공동연구보고서,2018-11-30,W1,연구관리 전문기관 평가체계 및 매뉴얼 마련에 관한 연구,홍형득(한국정책학회),연구관리 연구관리전문기관  평가,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180116&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180116&seq=prg_0071P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180122,PRG0720180122,831-007,위탁/협동/공동연구보고서,2018-11-30,W1,주요국의 기관평가 조사 분석을 통한 임무중심형 평가제도 개선방안 연구,봉선학(주식회사 티비앤에이),,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180122&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180122&seq=prg_0071P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180245,RES0220180245,831-001,조사평가,2018-12-11,W1,세계경제포럼(WEF)의 세계경쟁력 보고서 2018분석-과학기술 관련 부문 중심으로,정민우(혁신정보분석센터),"세계경제포럼, 국가경쟁력, 과학기술지표, ICT보급, 혁신역량",韩文,机构正式研究,科技创新政策与能力基线,产业创新、创业与区域体系,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180245&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180245&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180246,RES0220180246,831-003,예비타당성조사,2018-12-11,W1,2017년도 예비타당성조사 보고서-중소기업글로벌혁신기술개발사업,이흥권(재정투자분석본부),"중소기업, 글로벌혁신, 글로벌전략품목, 혁신형기업, 글로벌강소기업",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180246&seq=res_0026P@2,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-RES0220180246.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-KISTEP-RES0220180246.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-KISTEP-RES0220180246.md,5723216,a40cee0b0a83b8fccd26475a93d34fb366323443eeb515d77f4d0d7c38b0c834,230,211491,可检索文本,官方PDF已保存并校验,,2026-08-22
C-KISTEP-RES0220180248,RES0220180248,831-003,예비타당성조사,2018-12-11,W1,2017년도 예비타당성조사 보고서-차세대 농작물 신육종기술 개발사업,이흥권(재정투자분석본부),"신육종기술, 유전자가위기술, 유전체교정, 육종소재, 재분화조절기술",韩文,机构正式研究,科技创新政策与能力基线,生命科学、生物技术与健康；科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180248&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180248&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180249,RES0220180249,831-003,예비타당성조사,2018-12-11,W1,2018년도 예비타당성조사 보고서-디스플레이 혁신공정 플랫폼 구축사업,이흥권(재정투자분석본부),"디스플레이, 자발광, 플렉서블, 비진공, 용액 공정",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180249&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180249&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180250,RES0220180250,831-003,예비타당성조사,2018-12-11,W1,2017년도 예비타당성조사 보고서-농생명소재산업화 기술개발사업,이흥권(재정투자분석본부),"임상연구, 비교효과연구, 한약제제, 한의의료기기, 의료정보 표준화",韩文,机构正式研究,科技创新政策与能力基线,生命科学、生物技术与健康；科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180250&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180250&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180251,RES0220180251,831-003,예비타당성조사,2018-12-11,W1,2018년도 예비타당성조사 보고서-무인이동체 원천기술개발사업,이흥권(재정투자분석본부),"무인이동체, 공통기술, 항공무인이동체, 육상무인이동체, 테스트베드",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；航天、核能与大型技术系统,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180251&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180251&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
